ing,ing_func,cir,ewg
Hydrogenated Rapeseed Oil,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Polyamide-3,['Film Forming'],nan,1.0
Artemisia Abrotanum Extract,['Skin Protecting'],nan,1.0
Rheum Rhaponticum Root Extract,['Skin Conditioning'],nan,1.0
Curcuma Longa (Turmeric) Root Powder,['Skin Conditioning'],nan,1.0
Musa Paradisica (Banana) Fruit Juice,['Skin Conditioning'],nan,1.0
Sambucus Nigra Flower Powder,['Skin Conditioning'],nan,1.0
Buttermilk Powder,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Fragaria Vesca (Strawberry) Fruit,"['Astringent', 'Proprietary', 'Skin Conditioning']",nan,1.0
Undecyl Alcohol,"['Antiseborrhoeic', 'Emollient', 'Fragrance', 'Masking', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Levan,"['Film Forming', 'Skin Protecting']",A,1.0
Cymbopogon Citratus Oil,[''],nan,1.0
Orchid Oil,[''],nan,1.0
Polyvinyl Acetate,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Hair Fixing']",A,3.0
Papaver Orientale (Poppy) Seed Oil,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Solvent']",nan,1.0
Saccharomyces Lysate,['Skin Conditioning'],nan,1.0
Corylus Avellana (Hazel) Leaf Extract,['Skin Conditioning'],nan,1.0
AMP-Acrylates Copolymer,['Film Forming'],B,2.0
Sodium Potassium Aluminum Silicate,['Bulking Agent'],A,2.0
TEA-Palmitate,"['Cleansing', 'Emulsifying', 'Surfactant']",B,2.0
PEG-20 Castor Oil,"['Emulsifying', 'Surfactant']",nan,5.0
Tilia Cordata Flower Water,"['Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Juniperus Virginiana Wood Oil,['Perfuming'],nan,1.0
Rapeseed Acid,"['Cleansing', 'Surfactant']",nan,1.0
Propolis Wax,['Proprietary'],nan,1.0
Polysorbate 21,"['Emulsifying', 'Fragrance', 'Surfactant']",B,1.0
Soymilk,['Skin Conditioning'],nan,1.0
Pentetic Acid,['Chelating Agent'],nan,1.0
Sodium Succinate,"['Buffering Agent', 'Ph Adjuster']",nan,1.0
Magnolia Acuminata Bark Extract,['Skin Conditioning'],nan,1.0
Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant']",A,1.0
Polyacrylate-3,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Tulipa Darwin Flower Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Hydroxycaprylic Acid,['Skin Conditioning'],nan,2.0
Hordeum Vulgare Root Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Castoryl Maleate,['Skin Conditioning'],nan,1.0
Mentha Citrata Leaf Extract,"['Astringent', 'Perfuming']",nan,1.0
Capsicum Frutescens Resin,"['Cleansing', 'Masking', 'Tonic']",B,1.0
Isostearyl Stearoyl Stearate,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Solanum Lycopersicum (Tomato) Fruit Juice,['Skin Conditioning'],nan,1.0
Acetyl Glutamic Acid,['Skin Conditioning'],B,1.0
PEG-12 Dimethicone Crosspolymer,"['Emulsifying', 'Emulsion Stabilising', 'Stabilising', 'Surfactant', 'Suspending Agent - Nonsurfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,3.0
Cistus Ladaniferus Resin,"['Fragrance', 'Masking']",nan,1.0
Solanum Lycopersicum (Tomato) Callus Culture Extract,[''],nan,1.0
Dioctyl Sodium Sulfosuccinate,"['Emulsifying', 'Hydrotrope', 'Sufactant']",nan,1.0
Callitris Introtropica Wood Oil,"['Fragrance', 'Masking', 'Tonic']",nan,1.0
Hexyl Salicylate,"['Masking', 'Perfuming']",nan,2.0
Ethyl Ester of Hydrolyzed Silk,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Dicalcium Phosphate,"['Abrasive', 'Bulking Agent', 'Opacifying']",B,1.0
Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein,"['Antistatic Agent', 'Cleansing', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant']",nan,1.0
Helichrysum Angustifolium Flower Extract,"['Antiseborrhoeic', 'Flavoring Agent', 'Masking', 'Soothing']",nan,1.0
Acrylates/Polytrimethylsiloxymethacrylate Copolymer,"['Film Forming', 'Hair Fixing', 'Skin Conditioning']",nan,1.0
Polyester,"['Film Forming', 'Skin Conditioning']",nan,1.0
PEI-10,['Suspending Agent - Nonsurfactant'],nan,1.0
Acacia Farnesiana Flower Extract,['Perfuming'],nan,1.0
Butyl Methacrylate,"['Film Forming', 'Masking', 'Viscosity Controlling']",nan,6.0
Carboxymethyl Hydroxypropyl Guar,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Gel Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
DEA-C8-18 Perfluoroalkylethyl Phosphate,"['Emulsifying', 'Surfactant']",nan,10.0
Butyloctanol,"['Humectant', 'Solvent']",nan,1.0
Manganese Oxide,['Uv Absorber'],nan,3.0
Poly(Methyl Styrene Isopropanol Ketone),[''],nan,1.0
Prunus Amygdalus Dulcis (Sweet Almond) Kernel Oil,[''],nan,1.0
Brown Sugar,[''],nan,1.0
Lupinus Albus Seed Oil,['Skin Conditioning'],A,1.0
Sucrose Myristate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Ananas Sativus (Pineapple) Stem Powder,['Skin Conditioning'],nan,1.0
Collinsonia Canadensis Extract,['Astringent'],nan,1.0
Pyrus Malus (Apple) Fruit,['Cosmetic Astringent'],B,1.0
PEG-80,"['Binding', 'Humectant', 'Solvent']",nan,3.0
Undecylenic Acid,"['Antifungal Agent', 'Cosmetic Biocide', 'Emulsifying', 'Fragrance', 'Preservative', 'Sufactant', 'Surfactant']",nan,1.0
Toluene,"['Antioxidant', 'Solvent']",A,10.0
Acanthopanax Senticosus (Eleuthero) Extract,[''],nan,1.0
Cananga Odorata Flower Wax,"['Fragrance', 'Masking', 'Tonic']",nan,1.0
Krameria Triandra Root Extract,['Skin Conditioning'],nan,1.0
Cetearate-20,[''],nan,1.0
Loess,"['Abrasive', 'Absorbent', 'Bulking Agent']",nan,1.0
Urtica Dioica (Nettle) Root Extract,['Skin Conditioning'],nan,1.0
Capparis Spinosa Fruit Extract,['Skin Conditioning'],nan,1.0
Rosa Alba Flower Extract,"['Emollient', 'Perfuming']",nan,1.0
Prolinamidoethyl Imidazole,['Skin Protecting'],nan,1.0
Lavandula Latifolia (Spike Lavender) Oil,[''],nan,1.0
Pentaclethra Macroloba Seed Oil,['Emollient'],nan,1.0
Sodium Cetyl Sulfate,"['Cleansing', 'Emulsifying', 'Foaming', 'Surfactant']",A,1.0
Trimethylpentanediol/Adipic Acid Copolymer,['Skin Conditioning'],nan,1.0
TEA-Sulfate,['Buffering Agent'],B,2.0
Acanthus Mollis Leaf Extract,['Skin Conditioning'],nan,1.0
C4-24 Alkyl Dimethicone/Divinyldimethicone Crosspolymer,"['Film Forming', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Trimethylolpropane Triisostearate,"['Emollient', 'Skin Conditioning']",nan,1.0
Calcium Thioglycolate,"['Depilatory', 'Exfoliant', 'Keratolytic', 'Reducing']",B,4.0
Anacardium Occidentale (Cashew) Seed Oil,['Skin Conditioning'],A,1.0
Palmitoyl Hexapeptide-19,['Skin Conditioning'],nan,1.0
Grevillea Speciosa (Red Spider Flower) Extract,[''],nan,1.0
Butylated PVP,"['Binding', 'Binding Agent', 'Film Forming', 'Hair Fixing']",nan,1.0
Polygala Tenuifolia Root Extract,['Skin Conditioning'],nan,1.0
Isopropyl Acetate,"['Fragrance', 'Solvent']",A,1.0
Lippia Citriodora Leaf/Flower Oil,[''],nan,3.0
Glycereth-5 Lactate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Solvent']",nan,1.0
PEG/PPG-4/12 Dimethicone,['Emulsifying'],A,3.0
Disteareth-75 IPDI,['Viscosity Controlling'],nan,3.0
Anthocyanins,"['Colorant', 'Cosmetic Colorant']",nan,1.0
Butyrolactone,"['Masking', 'Solvent']",nan,1.0
Rosa Multiflora (rose) Flower Extract,[''],nan,1.0
Hydroxypropyl Methacrylate,['Film Forming'],B,3.0
Ethyl Stearate,"['Emollient', 'Fragrance', 'Hair Conditioning', 'Perfuming', 'Skin Conditioning']",nan,1.0
Bis-PEG-15 Methyl Ether Dimethicone,"['Emulsifying', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant']",nan,3.0
Hibiscus Sabdariffa Leaf,['Skin Conditioning'],nan,1.0
Oligopeptide-10,"['Antimicrobial', 'Deodorant', 'Skin Conditioning']",nan,1.0
Brassica Alcohol,"['Emollient', 'Emulsion Stabilising', 'Viscosity Controlling']",nan,1.0
Oligopeptide-5,['Skin Conditioning'],nan,1.0
Musa Sapientum (Banana) Flower Extract,['Skin Conditioning'],nan,1.0
Inula Britannica Flower Extract,['Skin Conditioning'],nan,1.0
Methacrylic Acid,['Film Forming'],B,5.0
Brassicamidopropyl Dimethylamine,"['Hair Conditioning', 'Skin Conditioning']",B,1.0
"2,6-Dimethyl-7-Octen-2-ol","['Masking', 'Perfuming', 'Solvent']",nan,1.0
Rhus Javanica Extract,['Antioxidant'],nan,1.0
Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,['Hair Conditioning'],nan,1.0
Tetrapeptide-14,['Skin Conditioning'],nan,1.0
Pentaerythrityl Stearate/Caprate/Caprylate/Adipate,"['Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Increasing Agent']",nan,1.0
Hexanal,"['Flavoring Agent', 'Fragrance', 'Masking']",nan,1.0
Echinacea Angustifolia Root Extract,"['Hair Conditioning', 'Nail Conditioning', 'Skin Conditioning']",nan,1.0
Panax Notoginseng Extract,['Skin Conditioning'],nan,1.0
Dimethyl Silylate,[''],nan,1.0
C11-15 Pareth-7,"['Emulsifying', 'Surfactant']",B,1.0
Trimethylsiloxyamodimethicone,['Hair Conditioning'],nan,1.0
Hemidesmus Indicus Root Extract,['Skin Conditioning'],nan,1.0
Sorbitan Triisostearate,"['Emulsifying', 'Surfactant']",A,1.0
Polysilicone-19,['Hair Conditioning'],nan,1.0
Trisodium Phosphate,"['Buffering Agent', 'Chelating Agent', 'Ph Adjuster']",B,1.0
Nylon-6,"['Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,1.0
PEG-30,[''],nan,3.0
Maslinic Acid,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Coral Powder,['Abrasive'],nan,1.0
Babassuamidopropyl Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,1.0
Diospyros Mespiliformis Leaf Extract,['Skin Conditioning'],nan,1.0
Bis(Glycidoxyphenyl)propane/Bisaminomethylnorbornane Copolymer,['Film Forming'],nan,1.0
Disodium Ricinoleamido MEA-Sulfosuccinate,"['Cleansing', 'Foam Boosting', 'Hydrotrope', 'Skin Conditioning', 'Surfactant']",nan,1.0
Hydrogenated Soy Glyceride,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Helichrysum Italicum (Everlasting) Flower Oil,[''],nan,1.0
Aminoethylphosphinic Acid,['Skin Conditioning'],nan,1.0
Lac,['Skin Conditioning'],nan,1.0
Tri-C12-13 Alkyl Citrate,"['Emollient', 'Skin Conditioning']",A,1.0
Acetone,"['Denaturant', 'Fragrance', 'Solvent']",nan,3.0
Oleamide DEA,"['Antistatic Agent', 'Foam Boosting', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,3.0
Whole Dry Milk,['Skin Conditioning'],nan,1.0
Jasminum Sambac (Jasmine) Flower Wax,"['Emollient', 'Skin Conditioning']",nan,1.0
Quercus Suber Bark Extract,['Skin Conditioning'],nan,1.0
Xylene,"['Fragrance', 'Masking', 'Perfuming', 'Solvent']",nan,8.0
Macadamia Ternifolia Seed Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Shea Butter Glycereth-8 Esters,"['Cleansing', 'Emulsifying', 'Surfactant']",nan,1.0
Moringa Pterygosperma Oil,['Emollient'],nan,1.0
Withania Somnifera Flower Extract,['Skin Conditioning'],nan,1.0
Laneth-16,"['Emulsifying', 'Surfactant']",B,1.0
Ceteth-16,"['Emulsifying', 'Surfactant']",B,2.0
Steareth-16,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Methylenedioxyphenyl Methylpropanal,['Perfuming'],nan,1.0
Cyclamen Aldehyde,"['Fragrance', 'Masking']",nan,1.0
Citronellyl Acetate,"['Fragrance', 'Masking']",nan,1.0
Sodium Sheabutteramphoacetate,"['Cleansing', 'Surfactant']",nan,1.0
Zinc Pyrithione,"['Antidandruff Agent', 'Antiseborrhoeic', 'Cosmetic Biocide', 'Hair Conditioning', 'Preservative']",nan,3.0
Morus Alba Stem Extract,['Skin Conditioning'],nan,1.0
Hydrolyzed Gardenia Florida Extract,['Antioxidant'],nan,1.0
Isostearyl Hydroxystearate,"['Emollient', 'Skin Conditioning']",B,1.0
Aquilaria Agallocha Oil,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
SD Alcohol 38-B,[''],nan,4.0
PEG-160M,"['Binding Agent', 'Emulsion Stabilising', 'Viscosity Increasing Agent']",nan,3.0
Cassia Hydroxypropyltrimonium Chloride,"['Antistatic Agent', 'Hair Conditioning']",nan,1.0
Alkyl Polyglucoside,[''],nan,1.0
Agave Rigida (Sisal) Extract,['Bulking Agent'],nan,1.0
C11-12 Isoparaffin,"['Skin Conditioning', 'Solvent']",B,1.0
Limonium Gerberi Extract,"['Hair Conditioning', 'Skin Protecting']",nan,1.0
Disodium Pyrophosphate,"['Anticorrosive', 'Buffering Agent', 'Chelating Agent', 'Ph Adjuster']",B,1.0
Glyceryl Dioleate,"['Emollient', 'Skin Conditioning']",nan,1.0
Zein,"['Film Forming', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Pentadesma Butyracea Seed Butter,"['Emollient', 'Skin-Conditioning Agent - Occlusive']",nan,1.0
Cyperus Rotundus Root Extract,['Skin Conditioning'],nan,1.0
Shea Butter Glycerides,"['Emulsifying', 'Emulsion Stabilising', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant', 'Viscosity Controlling']",nan,1.0
Bis-Diglyceryl Polyacyladipate-1,"['Emollient', 'Skin Conditioning']",nan,1.0
Stearoyl Glutamic Acid,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant']",B,1.0
Phyllanthus Emblica Fruit Powder,['Skin Conditioning'],nan,1.0
Acrylates/Aminoacrylates/C10-30 Alkyl PEG-20 Itaconate Copolymer,['Emulsion Stabilising'],nan,3.0
Lavandula Spica (Lavender) Flower/Leaf/Stem Extract,[''],nan,1.0
Aloe Barbadensis Distillate,[''],nan,2.0
Rubia Tinctorum Root Extract,"['Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Hexapeptide-10,['Humectant'],nan,1.0
Quaternium-73,['Antistatic Agent'],nan,1.0
Sodium Lactate Methylsilanol,['Skin Conditioning'],nan,1.0
VP/Acrylates/Lauryl Methacrylate Copolymer,['Hair Fixing'],nan,1.0
PEG-20 Soy Sterol,"['Emulsifying', 'Surfactant']",nan,6.0
PEG-8 Esters,[''],nan,3.0
Akebia Trifoliata Stem Extract,['Skin Conditioning'],nan,1.0
Rosa Canina Flower,['Masking'],nan,1.0
Rahnella/Soy Protein Ferment,['Skin Conditioning'],nan,1.0
rh-Polypeptide-11,[''],nan,1.0
Polyamide-1,['Film Forming'],nan,1.0
Hydrogenated Polycyclopentadiene,"['Depilatory', 'Epilating Agent']",nan,1.0
Centella Asiatica (Gotu Kola) Oil,[''],nan,1.0
Colostrum,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Sodium Silicoaluminate,"['Abrasive', 'Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Acrylates/Vinyl Neodecanoate Crosspolymer,"['Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling']",B,1.0
Hydrolyzed Citrus Aurantium Dulcis Fruit Extract,['Skin Protecting'],B,1.0
Banksia Serrata Flower Extract,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Beer,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Petasites Japonicus Root Extract,['Skin Conditioning'],nan,1.0
PPG-12-PEG-50 Lanolin,"['Emollient', 'Emulsifying', 'Hair Conditioning', 'Surfactant']",A,3.0
PEG-6 Methyl Ether,['Solvent'],B,3.0
Trideceth-9 PG-Amodimethicone,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Sodium Lauroyl Methylaminopropionate,"['Cleansing', 'Emulsifying', 'Surfactant']",nan,1.0
PPG-30 Cetyl Ether,"['Emollient', 'Skin Conditioning']",nan,1.0
Formic Acid,"['Fragrance', 'Ph Adjuster', 'Preservative']",B,1.0
Myrciaria Dubia Seed Extract,"['Emollient', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",nan,1.0
Lauraldehyde,"['Flavoring Agent', 'Fragrance', 'Masking']",nan,1.0
Allyl Caproate,"['Cosmetic Astringent', 'Emollient', 'Fragrance', 'Masking']",nan,2.0
Prunus Persica (Peach) Seed Powder,"['Abrasive', 'Bulking Agent']",nan,1.0
Polyglyceryl-4 Caprylate,"['Emollient', 'Emulsifying']",nan,1.0
Trimethylsiloxyphenyl Dimethicone,['Hair Conditioning'],nan,1.0
Combretum Micranthum Leaf Extract,['Skin Conditioning'],nan,1.0
Prunus Yedoensis Flower Extract,"['Humectant', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Abelmoschus Esculentus Fruit Extract,['Skin Conditioning'],nan,1.0
Octoxynol-11,"['Emulsifying', 'Surfactant']",A,8.0
Cerebrosides,"['Emollient', 'Skin Conditioning', 'Skin Protecting']",nan,3.0
Hexadecanolactone,"['Masking', 'Perfuming']",nan,1.0
Pinus Pinaster (Maritime Pine) Bark Extract,"['Anticaries Agent', 'Antidandruff Agent', 'Antifungal Agent', 'Antimicrobial Agent', 'Antioxidant', 'Skin Conditioning', 'Sunscreen Agent', 'Uv Absorber']",nan,1.0
Ceteareth-2,"['Emulsifying', 'Surfactant']",nan,7.0
Canola Sterols,"['Emollient', 'Skin Conditioning']",nan,1.0
Hydrolyzed Beta-Glucan,['Skin Conditioning'],nan,1.0
Steareth-30,"['Cleansing', 'Gel Forming', 'Surfactant']",B,1.0
Lavandula Angustifolia (Lavender) Flower Wax,"['Emollient', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Dimethicone PEG-7 Isostearate,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",nan,3.0
Magnolia (Magnolia) Extract,[''],nan,1.0
CI 21108,"['Colorant', 'Cosmetic Colorant']",nan,2.0
Hydrolyzed RNA,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
PEG-50 Shea Butter,"['Emulsifying', 'Surfactant']",nan,3.0
Angelica Archangelica Seed Oil,['Skin-Conditioning Agent - Occlusive'],nan,1.0
Coriandrum Sativum (Coriander) Extract,[''],nan,1.0
Cyperus Esculentus Root Oil,['Masking'],nan,1.0
Backhousia Citriodora Leaf Extract,"['Cosmetic Astringent', 'Skin Conditioning']",nan,1.0
Potassium Olivate,"['Emulsifying', 'Sufactant', 'Surfactant']",A,1.0
Beheneth-30,"['Cleansing', 'Emulsifying', 'Surfactant']",B,1.0
Uuron-Cha Ekisu,"['Antioxidant', 'Skin Conditioning']",nan,1.0
C12-15 Pareth-3,"['Emulsifying', 'Surfactant']",B,1.0
Dihydroxy Methylchromone,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Kombucha Extract,[''],nan,1.0
Vitamin F,[''],nan,1.0
Gastrodia Elata Root Extract,['Skin Conditioning'],nan,1.0
Armeria Maritima Extract,['Skin Conditioning'],nan,1.0
Pinus Strobus Cone Extract,"['Masking', 'Perfuming']",nan,2.0
Papain Enzyme,[''],nan,1.0
CI 45430,"['Cosmetic Colorant', 'Hair Dyeing']",nan,3.0
Hydrolyzed Wheat Starch,"['Humectant', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Aminopropyl Kojyl Phosphate,['Skin Conditioning'],nan,1.0
Behenyl Dimethicone,['Skin Conditioning'],nan,1.0
Hydrolyzed Amaranth Protein,['Skin Conditioning'],nan,1.0
Citrine,['Skin Conditioning'],nan,1.0
CI 74260,"['Colorant', 'Cosmetic Colorant']",nan,5.0
Ethylhexyl Dimethyl PABA,"['Uv Absorber', 'Uv Filter']",nan,5.0
Methyl Ionones,[''],nan,2.0
Helianthus Annuus (Sunflower) Petal,[''],nan,1.0
Anisaldehyde,"['Masking', 'Perfuming']",nan,1.0
Heliotropine,"['Fragrance', 'Masking', 'Perfuming', 'Skin Conditioning']",nan,1.0
Polyquaternium-80,"['Cleansing', 'Emulsifying', 'Hair Conditioning']",nan,1.0
Gamma-Nonalactone,"['Fragrance', 'Perfuming', 'Solvent']",nan,1.0
Ethyl Benzoate,"['Fragrance', 'Perfuming', 'Preservative']",nan,2.0
Theobroma Grandiflorum Fruit Extract,['Skin Conditioning'],nan,1.0
Potassium Palm Kernelate,"['Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Saccharomyces/Podophyllum Peltatum Ferment Filtrate,['Skin Conditioning'],nan,1.0
Dioctyldodecyl Adipate,"['Emollient', 'Plasticizer', 'Skin Conditioning']",A,1.0
Sodium Formate,"['Buffering Agent', 'Preservative']",B,2.0
Hydrolyzed Xylan,['Skin Conditioning'],nan,1.0
Potassium C12-13 Alkyl Phosphate,['Surfactant'],B,1.0
Nylon-11,"['Bulking Agent', 'Opacifying', 'Viscosity Controlling']",A,1.0
Sodium Bisulfate,"['Buffering Agent', 'Ph Adjuster']",nan,1.0
3-Hexenol,"['Fragrance', 'Humectant', 'Perfuming', 'Solvent', 'Viscosity Controlling']",nan,1.0
Pelargonium Graveolens Flower/Leaf/Stem Extract,"['Masking', 'Skin Conditioning']",nan,1.0
PPG-20 Methyl Glucose Ether Distearate,"['Emollient', 'Skin Conditioning']",A,1.0
PEG/PPG-20/23 Dimethicone,"['Emulsion Stabilising', 'Hair Conditioning', 'Skin Conditioning', 'Slipmodifier', 'Surface Modifier', 'Surfactant']",A,3.0
Molasses,['Skin Conditioning'],nan,1.0
Dextrose,[''],nan,1.0
Lauryl Pyrrolidone,"['Cleansing', 'Hair Conditioning', 'Surfactant']",nan,2.0
Styrene/Acrylates/Ammonium Methacrylate Copolymer,"['Film Forming', 'Opacifying']",B,1.0
Stearate-21,[''],nan,1.0
Cocamine Oxide,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Hydrotrope', 'Sufactant']",nan,1.0
PEG-150/Decyl Alcohol/SMDI Copolymer,"['Film Forming', 'Viscosity Controlling']",nan,3.0
Magnesium Carbonate Hydroxide,"['Binding', 'Buffering Agent', 'Bulking Agent', 'Ph Adjuster', 'Viscosity Controlling']",nan,1.0
Castor Isostearate Beeswax Succinate,['Skin Conditioning'],nan,1.0
Isostearyl Benzoate,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Acacia Farnesiana Flower Wax,['Skin Protecting'],nan,1.0
Xanthium Strumarium Fruit Extract,['Skin Conditioning'],nan,1.0
Adenine,['Skin Conditioning'],nan,1.0
Canarium Commune Gum Oil,"['Masking', 'Tonic']",nan,1.0
Pregnenolone Acetate,['Skin Conditioning'],nan,3.0
Hydrolyzed Soy,['Skin Conditioning'],nan,1.0
Prunus Cerasus (Bitter Cherry) Seed Oil,"['Emollient', 'Fragrance', 'Masking']",nan,1.0
Eucalyptus Staigeriana (Eucalyptus) Essential Oil,[''],nan,1.0
Capsaicin,"['External Analgesic', 'Fragrance', 'Masking', 'Skin Conditioning']",nan,1.0
Hydrogenated Soy Polyglycerides,"['Skin Conditioning', 'Viscosity Controlling']",nan,1.0
PEG-2 Cocamide,"['Emulsifying', 'Foam Boosting', 'Surfactant']",nan,3.0
Human Fibroblast Conditioned Media,['Skin Conditioning'],nan,3.0
Pentaerythrityl Tetracocoate,"['Binding Agent', 'Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Increasing Agent']",nan,1.0
Ammonium Cocoyl Isethionate,"['Cleansing', 'Surfactant']",nan,1.0
PPG-12 Dimethicone,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Bis-PEG/PPG-20/20 Dimethicone,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,3.0
Anigozanthos Flavidus (Kangaroo Paw) Leaf/Flower Extract,['Skin Conditioning'],nan,1.0
Eicosapentaenoic Acid,"['Emollient', 'Skin Conditioning']",nan,1.0
Pinus Pinaster (Maritime Pine) Extract,[''],nan,1.0
Cocamide,"['Emulsifying', 'Emulsion Stabilising', 'Surfactant', 'Viscosity Controlling']",nan,1.0
MEA-Borate,['Buffering Agent'],nan,2.0
Diospyros Kaki Calyx Extract,"['Antioxidant', 'Humectant', 'Skin Conditioning']",nan,1.0
Sodium Styrene/Acrylates/Divinylbenzene Copolymer,"['Film Forming', 'Opacifying']",nan,2.0
Ammonium Nonoxynol-4 Sulfate,"['Cleansing', 'Surfactant']",nan,3.0
Isosteareth-200 Linoleate,"['Emollient', 'Skin Conditioning']",nan,1.0
Glyceryl Triacetyl Ricinoleate,"['Emollient', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling']",A,1.0
Juglans Nigra (Black Walnut) Shell Extract,"['Astringent', 'Emollient', 'Masking']",nan,1.0
Diisopropanolamine,['Ph Adjuster'],nan,6.0
Disodium PEG-5 Laurylcitrate Sulfosuccinate,"['Emulsifying', 'Hydrotrope', 'Surfactant']",nan,3.0
Adipic Acid,"['Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",A,1.0
Pentahydrosqualene,"['Emollient', 'Skin-Conditioning Agent - Occlusive']",nan,1.0
Glutaral,"['Cosmetic Biocide', 'Fragrance', 'Preservative']",B,6.0
Octoxynol-10,"['Emulsifying', 'Surfactant']",nan,6.0
PEG-10 Laurate,"['Emulsifying', 'Surfactant']",nan,5.0
Sedum Rosea Root Extract,"['Antioxidant', 'Astringent', 'Skin Conditioning']",nan,1.0
Pinus Tabulaeformis Bark Extract,['Tonic'],nan,1.0
Hydrogenated Peanut Oil,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Hydrolyzed Actin,"['Hair Conditioning', 'Skin Conditioning']",nan,3.0
Octoxynol-5,"['Emulsifying', 'Surfactant']",nan,6.0
Acetylated Lanolin,"['Antistatic Agent', 'Emollient', 'Emulsifying', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioning Agent -Occlusive']",A,1.0
Frangula Alnus Bark Extract,"['Skin Conditioning', 'Skin Protecting']",nan,1.0
Garcinia Mangostana Peel Powder,['Abrasive'],nan,1.0
Daucus Carota Sativa (Carrot) Root Seed Oil,[''],nan,1.0
Aloysia Triphylla (Lemon Verbena) Oil,[''],nan,1.0
Lauryl Lactyl Lactate,"['Foam Boosting', 'Opacifying', 'Skin Conditioning', 'Viscosity Controlling']",nan,1.0
Triundecanoin,"['Antistatic Agent', 'Emollient', 'Hair Conditioning', 'Skin Conditioning', 'Solvent']",nan,1.0
Glaucium Flavum Leaf Extract,['Skin Conditioning'],nan,1.0
