ing,ing_func,cir,ewg
Rose Extract,['Skin-Conditioning Agent - Occlusive'],nan,1.0
Caprylyl Glycol,"['Emollient', 'Hair Conditioning', 'Humectant', 'Skin Conditioning']",A,1.0
Illicium Verum (Anise) Fruit Extract,['Skin Conditioning'],nan,1.0
Mentha Piperita (Peppermint) Extract,['Skin Conditioning'],nan,1.0
Wine Extract,['Antioxidant'],nan,1.0
Hydrogenated Polydecene,"['Emollient', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning', 'Solvent']",A,2.0
Laureth-7,"['Emulsifying', 'Surfactant']",B,3.0
Sodium Benzoate,"['Anticorrosive', 'Fragrance', 'Masking', 'Preservative']",A,3.0
Tocopheryl Acetate (Vitamin E),"['Antioxidant', 'Skin Conditioning']",A,3.0
Polysorbate 60,"['Emulsifying', 'Surfactant']",B,3.0
Polyacrylamide,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Film Forming', 'Hair Fixing']",B,4.0
Curcuma Longa (Turmeric) Root Extract,[''],nan,1.0
Nordihydroguaiaretic Acid,['Antioxidant'],nan,1.0
Dextrin,"['Absorbent', 'Binding', 'Binding Agent', 'Bulking Agent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Perilla Ocymoides Seed Extract,['Antioxidant'],nan,1.0
Linoleic Acid,"['Antistatic Agent', 'Emollient', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant']",nan,1.0
Micrococcus Lysate,['Skin Conditioning'],nan,1.0
Microcrystalline Wax,[''],A,1.0
Mannitol,"['Binding', 'Binding Agent', 'Flavoring Agent', 'Humectant', 'Masking', 'Moisturising', 'Skin Conditioning']",nan,1.0
Maltodextrin,"['Absorbent', 'Binding', 'Binding Agent', 'Emulsion Stabilising', 'Film Forming', 'Hair Conditioning', 'Skin Conditioning', 'Suspending Agent - Nonsurfactant']",A,1.0
Behenyl Alcohol,"['Binding', 'Binding Agent', 'Emollient', 'Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Sodium RNA,['Skin Conditioning'],nan,1.0
Sorbitol,"['Flavoring Agent', 'Fragrance', 'Humectant', 'Plasticizer', 'Skin Conditioning']",nan,1.0
Sea Whip Extract,['Skin Conditioning'],nan,1.0
Adenosine Phosphate,['Skin Conditioning'],nan,1.0
Aminopropyl Ascorbyl Phosphate,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Ascorbyl Tocopheryl Maleate,"['Antioxidant', 'Emollient', 'Skin Conditioning']",A,1.0
Ammonium Acryloyldimethyltaurate/VP Copolymer,['Viscosity Controlling'],nan,1.0
Arabidopsis Thaliana Extract,['Antioxidant'],nan,1.0
Astrocaryum Murumuru Seed Butter,"['Emollient', 'Skin Conditioning']",A,1.0
Ethylbisiminomethylguaiacol Manganese Chloride,['Antioxidant'],nan,1.0
Isononyl Isononanoate,"['Antistatic Agent', 'Emollient', 'Skin Conditioning']",B,1.0
Isodecyl Salicylate,"['Antistatic Agent', 'Skin Conditioning']",B,1.0
Isohexadecane,"['Emollient', 'Skin Conditioning', 'Solvent']",B,1.0
Zeolite,"['Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Deodorant']",A,1.0
Caffeine,"['Fragrance', 'Masking', 'Skin Conditioning']",nan,1.0
Caprylic/Capric/Myristic/Stearic Triglyceride,"['Emollient', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Creatine,['Skin Conditioning'],nan,1.0
Trehalose,"['Flavoring Agent', 'Humectant', 'Moisturising']",A,1.0
Pentaerythrityl Tetraethylhexanoate,"['Binding Agent', 'Emollient', 'Skin-Conditioning Agent - Occlusive', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Potassium Sulfate,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Polyglyceryl-2 Triisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polybutene,"['Binding Agent', 'Epilating Agent', 'Viscosity Increasing Agent']",A,1.0
Polyethylene,"['Abrasive', 'Adhesive', 'Binding Agent', 'Bulking Agent', 'Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Plankton Extract,['Skin Conditioning'],nan,1.0
Hexylene Glycol,"['Emulsifying', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Solvent', 'Surfactant', 'Viscosity Decreasing Agent']",A,1.0
Chamomilla Recutita (Matricaria),[''],nan,1.0
Acrylamide/Sodium Acryloyldimethyltaurate Copolymer,"['Emulsion Stabilising', 'Viscosity Controlling']",nan,2.0
Tromethamine,"['Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",A,2.0
Ferulic Acid,"['Antimicrobial', 'Antioxidant', 'Preservative', 'Uv Absorber']",nan,2.0
Steareth-21,"['Emulsifying', 'Sufactant', 'Surfactant']",B,3.0
Zinc PCA,"['Humectant', 'Skin Conditioning']",nan,3.0
Polysorbate 80,"['Denaturant', 'Emulsifying', 'Surfactant']",B,3.0
Lecithin,"['Antistatic Agent', 'Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,3.0
Acrylates/Vinyl Isodecanoate Crosspolymer,"['Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling']",B,1.0
Polysorbate 20,"['Emulsifying', 'Surfactant']",B,3.0
DMDM Hydantoin,['Preservative'],A,7.0
Iodopropynyl Butylcarbamate,['Preservative'],B,6.0
